,Song Artist,Song Title,Part,Chords,Lyrics,Genre
0,Jeff Buckley,HALLELUJAH,intro,G Em G Em,,country
1,Jeff Buckley,HALLELUJAH,verse 1,G Em G Em G Em G Em C D G D G C D Em C D B7 Em Em C Em C G D G Em G Em G Em G Em C D G D G C D Em C D B7 Em C Em C G D,,country
2,Jeff Buckley,HALLELUJAH,instrumental,G Em G Em,,country
3,Jeff Buckley,HALLELUJAH,verse 2,G Em G Em C D G D G C D Em C D B7 Em C Em C G D,,country
4,Jeff Buckley,HALLELUJAH,instrumental,G Em G Em,,country
5,Jeff Buckley,HALLELUJAH,verse 3,G Em G Em C D G D G C D Em C D B7 Em C Em C G D,,country
6,Jeff Buckley,HALLELUJAH,instrumental,G Em G Em,,country
7,Jeff Buckley,HALLELUJAH,verse 4,G Em G Em C D G D G C D Em C D B7 Em C Em C G D,,country
8,Jeff Buckley,HALLELUJAH,instrumental,G Em G Em,,country
9,Jeff Buckley,HALLELUJAH,verse 5,G Em G Em C D G D G C D Em C D B7 Em C Em C G D C Em C G D,,country
10,The Beatles,HEY JUDE,verse,D A A7 D G D A A7 D D A A7 D G D A A7 D, Hey Jude dont make it bad take a sad song and make it better Remember to let her into your heart then you can start to make it better  Hey Jude dont be afraid you were made to go out and get her The minute you let her under your skin then you begin to make it better ,country
11,The Beatles,HEY JUDE,chorus,D7 G Bm Em G A7 D D7 G Bm Em G A7 D, And anytime you feel the pain hey Jude refrain dont carry the world upon your shoulders For well you know that its a fool who plays it cool by making his world a little colder ,country
12,The Beatles,HEY JUDE,interlude,D D7 A7, Da da da da da da da da ,country
13,The Beatles,HEY JUDE,verse,D A A7 D G D A A7 D, Hey Jude dont let me down you have found her now go and get her Remember to let her into your heart then you can start to make it better ,country
14,The Beatles,HEY JUDE,chorus,D7 G Bm Em G A7 D D7 G Bm Em G A7 D, So let it out and let it in hey Jude begin youre waiting for someone to perform with And dont you know that its just you hey Jude youll do the movement you need is on your shoulders ,country
15,The Beatles,HEY JUDE,interlude,D D7 A7, Da da da da da da da da ,country
16,The Beatles,HEY JUDE,verse,D A A7 D G D A A7 D, Hey Jude dont make it bad take a sad song and make it better Remember to let her under your skin then you begin to make it better ,country
17,The Beatles,HEY JUDE,outro,D C G D D C G D D C G D D C G D D C G D D C G D D C G D D C G D D C G D D C G D D = C A = G A7 = G7 D7 = C7 G = F Em = Dm C = Bb D = F A = C A7 = C7 D7 = F7 G = Bb Em = Gm C = Eb, Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude Na na na na na na na na na na na hey Jude . . . . .  * Alternates:  Capo V   open   Set8  http://sites.google.com/site/guitarmusicchordsandlyrics/,country
18,Billie Eilish & Khalid,LOVELY,intro, Em   C  Em Bm   C  Em Bm ,,country
19,Billie Eilish & Khalid,LOVELY,verse 1,C Em Bm C Em Bm,Thought I found a way Thought I found a way out (out) But you never go away (never go away) So I guess I gotta stay now ,country
20,Billie Eilish & Khalid,LOVELY,pre-chorus,C Em Bm C Em Bm C Em Bm C Em Bm,Oh I hope some day Ill make it out of here Even if it takes all night or a hundred years Need a place to hide but I cant find one near Wanna feel alive outside I can fight my fear ,country
21,Billie Eilish & Khalid,LOVELY,chorus,C Em Bm C Em Bm C,Isnt it lovely all alone Heart made of glass my mind of stone Tear me to pieces skin and bone Hello welcome home ,country
